"IDTransakcji","DataSprzedazy","DataWysylki","IDKanalu","Ilosc","CenaJednostkowa","Rabat","KosztJednostkowy","ProduktSurowy","KlientSurowy","Region","StatusZamowienia","NotatkaTechniczna","Kanal","TypKanalu"
"T006824","01-12-26","04-12-26","K02","4","150.75","0.1","88.73","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0353  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006825","26-08-26","28-08-26","K03","9","123.89","0.1","31.16","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0037  ;  B2B","Północ","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T006826","03-09-26","10-09-26","K01","2","83.07","0.05","39.66","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0499  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T006827","04-03-26","10-03-26","K01","10","91.17","0","41.78","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0086  ;  B2C","Północ","Zrealizowane","legacy_source","Online","E-commerce"
"T006828","23-12-26","26-12-26","K02","7","101.03","0.1","61.12","P046 | Produkt szkoleniowy 46 | Elektronika","Klient 0330  ;  B2C","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T006829","17-02-26","22-02-26","K01","1","81.68","0","48.35","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0219  ;  VIP  ","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T006830","18-06-26","21-06-26","K03","6","117.22","0.1","66.98","P022 | Produkt szkoleniowy 22 | Elektronika","Klient 0089  ;  B2B","Północ","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006831","09-11-26","2026-11-11","K02","2","124.69","0.05","75.65","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0301  ;  B2B","Południe","W realizacji","import_batch_02","Sklep","Retail"
"T006832","08-09-26","2026-09-10","K02","6","183.58","0","116.45","P033 | Produkt szkoleniowy 33 | Komputery","Klient 0207  ;  VIP","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T006833","07-02-25","2025-02-11","K03","5","109.47","0.1","53.20","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0348  ;  Detal","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006834","23-11-26","2026-11-25","K01","5","58.98","0.05","28.50","P027 | Produkt szkoleniowy 27 | Akcesoria","Klient 0385  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006835","24-11-25","28-11-25","K03","10","102.82","0.1","60.08","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0216  ;  Detal","Wschód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006836","10-03-26","2026-03-14","K02","5","180.64","0.1","106.78","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0149  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006837","27-10-25","30-10-25","K02","3","129.22","0","77.60","P006 | Produkt szkoleniowy 06 | Elektronika","Klient 0192  ;  Detal","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T006838","2025-11-27","2025-12-03","K01","10","106.46","0.05","60.79","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0243  ;  VIP","Zachód","Anulowane","legacy_source","Online","E-commerce"
"T006839","2025-07-30","03-08-25","K01","10","117.71","0.1","71.30","P029 | Produkt szkoleniowy 29 | Komputery","Klient 0150  ;  B2C","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T006840","2026-10-16","17-10-26","K01","10","100.45","0.1","26.09","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0467  ;  VIP","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T006841","2025-11-20","24-11-25","K02","7","113.70","0","27.37","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0140  ;  Detal","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006842","09-10-26","15-10-26","K01","1","86.48","0.1","22.08","P028 | Produkt szkoleniowy 28 | Oprogramowanie","Klient 0443  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T006843","29-12-26","02-01-27","K01","7","144.91","0.2","92.48","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0351  ;  VIP","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006844","30-10-26","03-11-26","K04","3","58.01","0.1","27.59","P027 | Produkt szkoleniowy 27 | Akcesoria","Klient 0057  ;  B2B","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T006845","2025-05-27","28-05-25","K03","6","77.84","0.05","34.89","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0168  ;  Detal","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006846","2026-10-01","2026-10-08","K01","1","88.59","0","43.57","P031 | Produkt szkoleniowy 31 | Akcesoria","Klient 0493  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006847","29-07-26","31-07-26","K02","1","68.61","0","17.10","P028 | Produkt szkoleniowy 28 | Oprogramowanie","Klient 0091  ;  VIP","Wschód","Zrealizowane","legacy_source","Sklep","Retail"
"T006848","21-08-26","2026-08-22","K02","4","80.26","0","20.87","P048 | Produkt szkoleniowy 48 | Oprogramowanie","Klient 0475  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006849","2026-10-13","16-10-26","K01","3","83.49","0.05","46.28","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0031  ;  VIP","Wschód","Zrealizowane","import_batch_02","Online","E-commerce"
"T006850","2026-11-13","2026-11-18","K01","2","105.09","0.05","61.99","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0021  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006851","19-03-26","2026-03-23","K01","4","152.67","0.05","87.66","P006 | Produkt szkoleniowy 06 | Elektronika","Klient 0303  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T006852","23-11-26","29-11-26","K01","7","131.50","0.1","79.73","P029 | Produkt szkoleniowy 29 | Komputery","Klient 0312  ;  Detal","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T006853","04-04-25","06-04-25","K01","8","65.78","0","29.74","P047 | Produkt szkoleniowy 47 | Akcesoria","Klient 0003  ;  VIP","Zachód","W realizacji","legacy_source","Online","E-commerce"
"T006854","28-05-26","2026-06-02","K01","3","102.91","0.05","26.87","P040 | Produkt szkoleniowy 40 | Oprogramowanie","Klient 0314  ;  B2C","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006855","24-09-25","26-09-25","K01","3","85.35","0","40.92","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0239  ;  VIP","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006856","18-05-26","2026-05-22","K02","4","103.56","0","61.93","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0311  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006857","2025-09-24","26-09-25","K02","4","154.41","0.05","91.27","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0499  ;  VIP","Południe","W realizacji","legacy_source","Sklep","Retail"
"T006858","04-11-25","08-11-25","K01","1","147.46","0","93.99","P029 | Produkt szkoleniowy 29 | Komputery","Klient 0379  ;  VIP","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006859","2026-05-01","2026-05-03","K04","5","145.18","0","87.48","P041 | Produkt szkoleniowy 41 | Komputery","Klient 0223  ;  VIP","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T006860","2026-11-20","22-11-26","K03","4","62.34","0.05","29.94","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0313  ;  B2B","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006861","06-10-26","08-10-26","K04","3","122.44","0","72.93","P022 | Produkt szkoleniowy 22 | Elektronika","Klient 0368  ;  Detal","Północ","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T006862","22-12-25","2025-12-25","K02","7","91.66","0.1","22.66","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0165  ;  B2B","Zachód","Anulowane","legacy_source","Sklep","Retail"
"T006863","2026-10-09","2026-10-10","K01","10","62.30","0.1","31.12","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0139  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T006864","06-10-26","10-10-26","K01","9","82.84","0.1","20.99","P012 | Produkt szkoleniowy 12 | Oprogramowanie","Klient 0149  ;  B2B","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T006865","07-06-26","08-06-26","K02","3","210.79","0","131.92","P025 | Produkt szkoleniowy 25 | Komputery","Klient 0263  ;  VIP","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T006866","2025-04-01","05-04-25","K03","16","142.98","0.1","86.71","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0089  ;  B2B","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006867","29-06-26","03-07-26","K02","6","96.39","0","58.15","P002 | Produkt szkoleniowy 02 | Elektronika","Klient 0101  ;  B2B","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T006868","09-10-26","13-10-26","K03","5","104.56","0.05","58.64","P046 | Produkt szkoleniowy 46 | Elektronika","Klient 0471  ;  VIP","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006869","30-06-26","01-07-26","K03","10","113.93","0.1","29.87","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0209  ;  B2B","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006870","19-06-26","23-06-26","K03","9","87.58","0.05","22.94","P012 | Produkt szkoleniowy 12 | Oprogramowanie","Klient 0447  ;  VIP","Zachód","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T006871","06-10-26","12-10-26","K01","10","101.48","0.05","59.28","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0041  ;  B2B","Zachód","Anulowane","legacy_source","Online","E-commerce"
"T006872","18-12-26","22-12-26","K02","7","135.50","0.05","34.95","P044 | Produkt szkoleniowy 44 | Oprogramowanie","Klient 0453  ;  B2B","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T006873","16-12-25","18-12-25","K03","5","94.26","0.05","46.25","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0227  ;  VIP","Zachód","W realizacji","import_batch_02","Partner","B2B / Partner"
"T006874","2026-11-05","09-11-26","K03","4","150.46","0.1","90.11","P042 | Produkt szkoleniowy 42 | Elektronika","Klient 0270  ;  B2C","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006875","11-12-25","14-12-25","K02","6","120.00","0.1","31.29","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0297  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006876","15-11-25","16-11-25","K02","6","85.06","0.05","38.51","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0475  ;  VIP","Południe","Anulowane","import_batch_02","Sklep","Retail"
"T006877","10-07-26","2026-07-13","K03","5","93.53","0.05","56.48","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0079  ;  VIP","Południe","Anulowane","legacy_source","Partner","B2B / Partner"
"T006878","25-09-26","26-09-26","K04","3","74.04","0","36.62","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0223  ;  VIP","Zachód","Anulowane","legacy_source","Telefon","Inside Sales"
"T006879","13-11-26","15-11-26","K03","4","109.10","0.05","49.04","P035 | Produkt szkoleniowy 35 | Akcesoria","Klient 0271  ;  VIP","Zachód","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T006880","2026-09-18","2026-09-21","K01","2","107.61","0.05","52.00","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0229  ;  B2B","Północ","Zrealizowane","legacy_source","Online","E-commerce"
"T006881","13-10-26","17-10-26","K03","12","86.20","0.1","41.69","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0061  ;  B2B","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006882","30-05-25","01-06-25","K03","15","112.55","0.1","63.36","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0222  ;  B2C","Zachód","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T006883","2026-01-21","22-01-26","K02","7","93.20","0.1","42.57","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0405  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006884","2026-10-30","2026-10-31","K03","5","93.04","0.05","21.79","P012 | Produkt szkoleniowy 12 | Oprogramowanie","Klient 0001  ;  B2B","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006885","2025-11-21","22-11-25","K01","3","124.42","0","74.81","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0287  ;  VIP","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006886","26-12-25","2025-12-27","K01","1","134.18","0.1","86.69","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0185  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006887","29-11-26","02-12-26","K01","3","105.25","0.1","63.12","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0424  ;  Detal","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006888","2026-09-28","2026-09-30","K01","2","160.66","0.2","98.83","P005 | Produkt szkoleniowy 05 | Komputery","Klient 0236  ;  Detal","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006889","19-12-25","26-12-25","K01","10","148.29","0","88.99","P034 | Produkt szkoleniowy 34 | Elektronika","Klient 0481  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006890","2026-10-21","25-10-26","K04","6","94.17","0.1","24.08","P012 | Produkt szkoleniowy 12 | Oprogramowanie","Klient 0143  ;  VIP","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T006891","29-05-25","2025-06-03","K01","2","90.35","0.2","52.20","P018 | Produkt szkoleniowy 18 | Elektronika","Klient 0115  ;  VIP","Wschód","Zrealizowane","import_batch_02","Online","E-commerce"
"T006892","20-12-25","22-12-25","K04","5","121.67","0.2","28.85","P016 | Produkt szkoleniowy 16 | Oprogramowanie","Klient 0204  ;  Detal","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T006893","2025-11-06","07-11-25","K03","5","102.10","0.1","24.87","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0395  ;  VIP","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006894","2026-05-20","2026-05-24","K03","16","172.33","0.2","108.56","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0267  ;  VIP","Południe","W realizacji","import_batch_02","Partner","B2B / Partner"
"T006895","30-12-26","2027-01-03","K02","5","104.43","0.1","57.41","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0385  ;  B2B","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T006896","18-09-25","2025-09-20","K04","3","143.06","0","35.44","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0354  ;  B2C","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T006897","01-03-25","05-03-25","K02","4","138.78","0","81.31","P042 | Produkt szkoleniowy 42 | Elektronika","Klient 0033  ;  B2B","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T006898","22-12-26","23-12-26","K04","5","94.42","0","24.42","P012 | Produkt szkoleniowy 12 | Oprogramowanie","Klient 0017  ;  B2B","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T006899","21-10-26","2026-10-25","K01","3","92.38","0.1","45.75","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0351  ;  VIP","Wschód","Zrealizowane","legacy_source","Online","E-commerce"
"T006900","2026-10-31","03-11-26","K02","3","65.20","0","31.74","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0115  ;  VIP","Północ","Zrealizowane","import_batch_02","Sklep","Retail"
"T006901","2026-09-14","15-09-26","K03","14","115.28","0.1","74.73","P029 | Produkt szkoleniowy 29 | Komputery","Klient 0354  ;  B2C","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006902","2025-11-03","08-11-25","K01","8","86.72","0.05","20.62","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0344  ;  Detal","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006903","2026-11-16","2026-11-23","K01","8","131.74","0","79.87","P050 | Produkt szkoleniowy 50 | Elektronika","Klient 0107  ;  VIP","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006904","27-11-26","01-12-26","K02","7","112.68","0.2","29.15","P044 | Produkt szkoleniowy 44 | Oprogramowanie","Klient 0317  ;  B2B  ","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006905","2026-07-06","08-07-26","K02","5","98.61","0.1","45.41","P043 | Produkt szkoleniowy 43 | Akcesoria","Klient 0125  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006906","2025-11-12","13-11-25","K02","2","65.40","0.2","29.62","P047 | Produkt szkoleniowy 47 | Akcesoria","Klient 0138  ;  B2C","Wschód","Zrealizowane","import_batch_02","Sklep","Retail"
"T006907","24-11-26","27-11-26","K03","16","85.92","0.1","40.00","P039 | Produkt szkoleniowy 39 | Akcesoria","Klient 0271  ;  VIP","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006908","14-11-25","15-11-25","K01","3","100.24","0.1","60.92","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0145  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006909","06-10-26","2026-10-09","K04","6","98.78","0.1","24.16","P040 | Produkt szkoleniowy 40 | Oprogramowanie","Klient 0165  ;  B2B","Południe","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T006910","23-06-25","27-06-25","K03","8","156.42","0.2","93.41","P026 | Produkt szkoleniowy 26 | Elektronika","Klient 0263  ;  VIP","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006911","2025-10-29","2025-11-01","K01","4","94.04","0","55.17","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0076  ;  Detal","Północ","Zrealizowane","legacy_source","Online","E-commerce"
"T006912","06-11-26","09-11-26","K02","1","80.97","0.05","37.11","P023 | Produkt szkoleniowy 23 | Akcesoria","Klient 0475  ;  VIP","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T006913","2026-11-28","03-12-26","K01","3","206.55","0","132.98","P017 | Produkt szkoleniowy 17 | Komputery","Klient 0291  ;  vip","Północ","Zrealizowane","legacy_source","Online","E-commerce"
"T006914","05-06-25","11-06-25","K01","8","105.48","0","65.78","P037 | Produkt szkoleniowy 37 | Komputery","Klient 0121  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006915","2026-11-11","13-11-26","K04","4","73.91","0.05","35.42","P047 | Produkt szkoleniowy 47 | Akcesoria","Klient 0451  ;  VIP","Południe","Zrealizowane","import_batch_02","Telefon","Inside Sales"
"T006916","24-03-26","30-03-26","K01","9","65.86","0.05","29.60","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0285  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006917","2026-06-03","06-06-26","K01","8","150.34","0.05","92.44","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0464  ;  Detal","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T006918","2026-10-23","28-10-26","K01","4","111.34","0","54.32","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0051  ;  VIP","Północ","Zrealizowane","import_batch_02","Online","E-commerce"
"T006919","18-11-26","21-11-26","K03","8","181.50","0.05","113.54","P041 | Produkt szkoleniowy 41 | Komputery","Klient 0269  ;  B2B","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006920","25-11-25","2025-12-01","K01","7","86.91","0.1","20.75","P012 | Produkt szkoleniowy 12 | Oprogramowanie","Klient 0083    ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T006921","21-05-26","22-05-26","K01","8","119.24","0","70.90","P050 | Produkt szkoleniowy 50 | Elektronika","Klient 0209  ;  B2B","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006922","26-04-26","30-04-26","K03","17","88.14","0.1","40.31","P023 | Produkt szkoleniowy 23 | Akcesoria","Klient 0259  ;  VIP","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006923","07-12-26","2026-12-08","K03","16","105.79","0.2","61.62","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0071  ;  VIP","Południe","W realizacji","legacy_source","Partner","B2B / Partner"
"T006924","13-10-25","2025-10-14","K03","16","90.55","0.1","41.32","P023 | Produkt szkoleniowy 23 | Akcesoria","Klient 0441  ;  B2B","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T006925","26-05-25","29-05-25","K02","3","121.17","0","73.06","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0108  ;  Detal","Północ","Zrealizowane","legacy_source","Sklep","Retail"
"T006926","30-01-26","2026-02-01","K04","7","122.41","0.1","29.26","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0408  ;  Detal","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T006927","26-09-25","28-09-25","K02","4","65.36","0.05","16.77","P036 | Produkt szkoleniowy 36 | Oprogramowanie","Klient 0419  ;  VIP","Północ","Zrealizowane","import_batch_02","Sklep","Retail"
"T006928","17-12-26","2026-12-20","K02","5","191.87","0","121.68","P033 | Produkt szkoleniowy 33 | Komputery","Klient 0205  ;  B2B","Północ","Zrealizowane","legacy_source","Sklep","Retail"
"T006929","27-03-26","29-03-26","K01","1","111.89","0.05","53.16","P043 | Produkt szkoleniowy 43 | Akcesoria","Klient 0259  ;  VIP","Wschód","Zrealizowane","legacy_source","Online","E-commerce"
"T006930","09-10-25","2025-10-13","K02","2","63.74","0.05","29.95","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0099  ;  VIP","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T006931","16-11-26","2026-11-20","K01","1","122.45","0","73.88","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0205  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006932","2026-09-08","11-09-26","K04","3","91.60","0","50.07","P038 | Produkt szkoleniowy 38 | Elektronika","Klient 0219  ;  VIP","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T006933","05-08-25","11-08-25","K01","5","77.86","0","36.16","P023 | Produkt szkoleniowy 23 | Akcesoria","Klient 0359  ;  VIP","Zachód","Zrealizowane","import_batch_02","Online","E-commerce"
"T006934","28-04-25","29-04-25","K01","2","77.88","0","38.93","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0117  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006935","07-08-26","2026-08-08","K02","7","101.52","0.1","25.86","P032 | Produkt szkoleniowy 32 | Oprogramowanie","Klient 0275  ;  VIP","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T006936","2026-05-08","11-05-26","K02","4","115.08","0","72.59","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0343  ;  VIP","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T006937","16-01-26","2026-01-19","K02","7","103.25","0","26.51","P032 | Produkt szkoleniowy 32 | Oprogramowanie","Klient 0219  ;  VIP","Zachód","Zrealizowane","legacy_source","Sklep","Retail"
"T006938","16-11-26","21-11-26","K01","2","113.97","0.1","66.12","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0319  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006939","17-11-25","19-11-25","K03","17","139.12","0.1","88.24","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0307  ;  VIP","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T006940","2026-11-06","10-11-26","K01","9","119.37","0","29.64","P024 | Produkt szkoleniowy 24 | Oprogramowanie","Klient 0165  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T006941","2026-08-18","20-08-26","K02","1","128.76","0","73.38","P050 | Produkt szkoleniowy 50 | Elektronika","Klient 0411  ;  VIP","Wschód","Zrealizowane","legacy_source","Sklep","Retail"
"T006942","19-06-26","2026-06-20","K02","2","105.32","0.05","50.87","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0360  ;  Detal","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T006943","22-07-26","23-07-26","K03","15","212.04","0.05","137.50","P017 | Produkt szkoleniowy 17 | Komputery","Klient 0393  ;  B2B","Południe","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T006944","2026-08-17","19-08-26","K01","5","137.75","0","77.52","P050 | Produkt szkoleniowy 50 | Elektronika","Klient 0487  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006945","29-09-26","03-10-26","K01","6","100.02","0.05","47.48","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0164  ;  Detal","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
"T006946","30-09-26","2026-10-03","K03","17","151.65","0.1","95.71","P033 | Produkt szkoleniowy 33 | Komputery","Klient 0231  ;  VIP","Południe","W realizacji","legacy_source","Partner","B2B / Partner"
"T006947","11-08-25","18-08-25","K01","7","104.55","0","64.17","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0481  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006948","18-07-26","2026-07-20","K02","2","73.09","0.1","33.62","P003 | Produkt szkoleniowy 03 | Akcesoria","Klient 0487  ;  VIP","Zachód","Zrealizowane","import_batch_02","Sklep","Retail"
"T006949","27-04-26","2026-04-30","K02","3","132.86","0","33.52","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0131  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006950","2025-10-31","07-11-25","K01","4","68.15","0","31.18","P019 | Produkt szkoleniowy 19 | Akcesoria","Klient 0203  ;  VIP","Wschód","Zrealizowane","legacy_source","Online","E-commerce"
"T006951","27-08-25","2025-08-28","K02","5","137.36","0","80.37","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0032  ;  Detal","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T006952","2026-10-23","2026-10-24","K01","5","133.98","0","33.12","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0454  ;  B2C","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006953","2026-05-22","24-05-26","K01","1","133.72","0","86.91","P013 | Produkt szkoleniowy 13 | Komputery","Klient 0399  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T006954","2026-03-18","2026-03-20","K02","6","160.02","0","94.11","P049 | Produkt szkoleniowy 49 | Komputery","Klient 0235  ;  VIP","Wschód","Zrealizowane","import_batch_02","Sklep","Retail"
"T006955","2026-07-24","26-07-26","K02","3","57.07","0","27.71","P019 | Produkt szkoleniowy 19 | Akcesoria","Klient 0053  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T006956","23-10-26","2026-10-26","K04","7","98.17","0.05","25.71","P012 | Produkt szkoleniowy 12 | Oprogramowanie","Klient 0075  ;  VIP","Zachód","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T006957","2026-11-20","27-11-26","K01","6","101.22","0","61.21","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0228  ;  Detal","Południe","Zrealizowane","import_batch_02","Online","E-commerce"
